full_name,clone_url,default_branch,stargazers_count,last_pushed,license_spdx,license_class,language,archived
DataDog/datadog-api-client-go,https://github.com/DataDog/datadog-api-client-go.git,master,161,2026-04-19,Apache-2.0,permissive,Go,False
DataDog/datadog-api-client-python,https://github.com/DataDog/datadog-api-client-python.git,master,160,2026-04-19,Apache-2.0,permissive,Python,False
DataDog/datadog-api-client-ruby,https://github.com/DataDog/datadog-api-client-ruby.git,master,44,2026-04-19,Apache-2.0,permissive,Ruby,False
DataDog/datadog-api-client-rust,https://github.com/DataDog/datadog-api-client-rust.git,master,20,2026-04-19,Apache-2.0,permissive,Rust,False
DataDog/datadog-api-client-typescript,https://github.com/DataDog/datadog-api-client-typescript.git,master,103,2026-04-19,Apache-2.0,permissive,TypeScript,False
EFForg/action-center-platform,https://github.com/EFForg/action-center-platform.git,main,518,2026-03-19,AGPL-3.0,copyleft,Ruby,False
ErickWendel/vanilla-js-web-app-example,https://github.com/ErickWendel/vanilla-js-web-app-example.git,main,26,2024-04-07,,unlicensed,HTML,False
GSA/search-gov,https://github.com/GSA/search-gov.git,main,68,2026-04-17,,unlicensed,Ruby,False
Human-Connection/Human-Connection,https://github.com/Human-Connection/Human-Connection.git,master,209,2021-08-07,NOASSERTION,unknown,JavaScript,False
IBM/ibm-cos-sdk-js,https://github.com/IBM/ibm-cos-sdk-js.git,master,39,2026-03-02,Apache-2.0,permissive,JavaScript,False
IRPTeam/IRP,https://github.com/IRPTeam/IRP.git,develop,91,2026-04-18,,unlicensed,1C Enterprise,False
ITRS-Group/monitor-merlin,https://github.com/ITRS-Group/monitor-merlin.git,master,22,2026-03-27,GPL-2.0,copyleft,C,False
ITRS-Group/monitor-ninja,https://github.com/ITRS-Group/monitor-ninja.git,master,31,2026-04-16,NOASSERTION,unknown,PHP,False
Jedisjeux/Jedisjeux,https://github.com/Jedisjeux/Jedisjeux.git,2.x,12,2026-01-05,MIT,permissive,PHP,False
KevinMarquette/PSGraph,https://github.com/KevinMarquette/PSGraph.git,master,211,2020-09-11,MIT,permissive,PowerShell,False
Lakion/CmsPlugin,https://github.com/Lakion/CmsPlugin.git,master,26,2018-02-01,,unlicensed,PHP,False
LiskHQ/lisk-desktop,https://github.com/LiskHQ/lisk-desktop.git,development,574,2024-08-23,GPL-3.0,copyleft,JavaScript,False
MageTest/BehatMage,https://github.com/MageTest/BehatMage.git,develop,86,2019-08-02,MIT,permissive,PHP,False
PoshCode/Configuration,https://github.com/PoshCode/Configuration.git,main,190,2024-09-03,MIT,permissive,PowerShell,False
RedSeal-co/ts-java,https://github.com/RedSeal-co/ts-java.git,master,64,2016-05-08,MIT,permissive,TypeScript,False
SFDigitalServices/sf-dahlia-web,https://github.com/SFDigitalServices/sf-dahlia-web.git,main,31,2026-04-17,GPL-3.0,copyleft,TypeScript,False
Samfundet/Samfundet,https://github.com/Samfundet/Samfundet.git,master,23,2026-04-09,MIT,permissive,Ruby,False
Setono/SyliusCatalogPromotionPlugin,https://github.com/Setono/SyliusCatalogPromotionPlugin.git,1.x,20,2025-02-11,MIT,permissive,PHP,False
Setono/SyliusGiftCardPlugin,https://github.com/Setono/SyliusGiftCardPlugin.git,0.12.x,51,2025-06-03,MIT,permissive,PHP,False
SpecBind/specbind,https://github.com/SpecBind/specbind.git,master,41,2023-05-31,MIT,permissive,C#,False
